StationCode,longitude,latitude,geometry
309GRN,-121.20518,36.33769,"c(-121.20518, 36.33769)"
309LAS1MI,-121.4953,36.2288,"c(-121.4953, 36.2288)"
309LOR,-121.0683,36.26731,"c(-121.0683, 36.26731)"
309PS0072,-121.12806,36.19092,"c(-121.12806, 36.19092)"
309SAC,-121.54773,36.55375,"c(-121.54773, 36.55375)"
309SAP,-120.38844,35.29414,"c(-120.38844, 35.29414)"
309SDCMCC,-121.15179,36.48787,"c(-121.15179, 36.48787)"
309SEC,-121.32153,36.28052,"c(-121.32153, 36.28052)"
309SED056,-121.48697,36.23563,"c(-121.48697, 36.23563)"
309SED057,-121.32254,36.28053,"c(-121.32254, 36.28053)"
309SED062,-121.39137,36.0035,"c(-121.39137, 36.0035)"
309SED063,-120.38886,35.2942,"c(-120.38886, 35.2942)"
309SED064,-121.09096,35.89448,"c(-121.09096, 35.89448)"
309SED071,-121.51405,36.21881,"c(-121.51405, 36.21881)"
309WLCATC,-121.53505,36.21306,"c(-121.53505, 36.21306)"
310ADLCDx,-121.30828,35.70981,"c(-121.30828, 35.70981)"
310ADLCUx,-121.30592,35.70958,"c(-121.30592, 35.70958)"
310COO,-120.88549,35.25475,"c(-120.88549, 35.25475)"
310CVC,-120.74257,35.32415,"c(-120.74257, 35.32415)"
310OLD,-120.85894,35.47167,"c(-120.85894, 35.47167)"
310PCD,-121.14803,35.61673,"c(-121.14803, 35.61673)"
310PCU,-121.14773,35.61761,"c(-121.14773, 35.61761)"
310PCWE,-121.14808,35.61653,"c(-121.14808, 35.61653)"
310PCWECx,-121.14808,35.61653,"c(-121.14808, 35.61653)"
310PCWEGx,-121.14808,35.61653,"c(-121.14808, 35.61653)"
310SCN,-120.66691,35.28046,"c(-120.66691, 35.28046)"
310SCP,-121.31863,35.76452,"c(-121.31863, 35.76452)"
310SED065,-121.07088,35.61385,"c(-121.07088, 35.61385)"
310SED066,-121.06781,35.56639,"c(-121.06781, 35.56639)"
310SSCLSx,-121.08293,35.61043,"c(-121.08293, 35.61043)"
312BRE,-120.19353,34.85395,"c(-120.19353, 34.85395)"
312HUA,-120.36816,35.08665,"c(-120.36816, 35.08665)"
312MZCDBC,-119.93702,34.77044,"c(-119.93702, 34.77044)"
312RYCALR,-119.29751,34.67437,"c(-119.29751, 34.67437)"
312SED113,-120.16696,34.84065,"c(-120.16696, 34.84065)"
315ARH101,-120.14088,34.4817,"c(-120.14088, 34.4817)"
315CHCALS,-120.53113,34.59321,"c(-120.53113, 34.59321)"
315ECAECS,-120.02152,34.46194,"c(-120.02152, 34.46194)"
315GAVGSP,-120.22866,34.47395,"c(-120.22866, 34.47395)"
315MIU,-119.70745,34.44673,"c(-119.70745, 34.44673)"
315RC3,-119.45333,34.39639,"c(-119.45333, 34.39639)"
315TC2,-119.56278,34.44583,"c(-119.56278, 34.44583)"
402BA0031,-119.29227,34.44652,"c(-119.29227, 34.44652)"
402M00002,-119.29916,34.31063,"c(-119.29916, 34.31063)"
402M00005,-119.40097,34.51364,"c(-119.40097, 34.51364)"
402M00009,-119.37505,34.41824,"c(-119.37505, 34.41824)"
402M00015,-119.29151,34.47484,"c(-119.29151, 34.47484)"
402M00029,-119.31172,34.35798,"c(-119.31172, 34.35798)"
402M00030,-119.29959,34.43881,"c(-119.29959, 34.43881)"
402M00042,-119.28891,34.46039,"c(-119.28891, 34.46039)"
402M00043,-119.34749,34.50161,"c(-119.34749, 34.50161)"
402M00046,-119.30011,34.42402,"c(-119.30011, 34.42402)"
402MTCUNF,-119.3792,34.5175,"c(-119.3792, 34.5175)"
403LNCASC,-119.16139,34.53892,"c(-119.16139, 34.53892)"
403M01500,-119.14776,34.29132,"c(-119.14776, 34.29132)"
403M01505,-118.92546,34.41709,"c(-118.92546, 34.41709)"
403M01506,-118.79347,34.39739,"c(-118.79347, 34.39739)"
403M01522,-118.78842,34.41442,"c(-118.78842, 34.41442)"
403M01528,-119.14219,34.27599,"c(-119.14219, 34.27599)"
403M01538,-118.83067,34.41199,"c(-118.83067, 34.41199)"
403M01539,-119.16554,34.54733,"c(-119.16554, 34.54733)"
403M01553,-118.92539,34.43845,"c(-118.92539, 34.43845)"
403M05757,-118.43467,34.54518,"c(-118.43467, 34.54518)"
403M05758,-118.61254,34.43484,"c(-118.61254, 34.43484)"
403M05771,-118.79476,34.69939,"c(-118.79476, 34.69939)"
403M05774,-118.62067,34.42692,"c(-118.62067, 34.42692)"
403M05780,-118.55686,34.60452,"c(-118.55686, 34.60452)"
403M05785,-118.47199,34.37091,"c(-118.47199, 34.37091)"
403M05795,-118.77961,34.60898,"c(-118.77961, 34.60898)"
403R4S117,-118.45116,34.58739,"c(-118.45116, 34.58739)"
403R4S137,-118.4892,34.44605,"c(-118.4892, 34.44605)"
403R4S193,-118.78927,34.41722,"c(-118.78927, 34.41722)"
403R4S211,-118.46287,34.57232,"c(-118.46287, 34.57232)"
403S00064,-118.51372,34.64435,"c(-118.51372, 34.64435)"
403S00640,-118.558,34.60115,"c(-118.558, 34.60115)"
403S00772,-118.9322,34.40976,"c(-118.9322, 34.40976)"
403S00831,-118.8318,34.43048,"c(-118.8318, 34.43048)"
403S00875,-119.30629,34.55668,"c(-119.30629, 34.55668)"
403S00960,-118.4617,34.59079,"c(-118.4617, 34.59079)"
403S01163,-118.86529,34.69943,"c(-118.86529, 34.69943)"
403S01195,-119.2678,34.55903,"c(-119.2678, 34.55903)"
403S01272,-118.6905,34.40303,"c(-118.6905, 34.40303)"
403S01707,-119.34799,34.59835,"c(-119.34799, 34.59835)"
403S01784,-118.7471,34.40228,"c(-118.7471, 34.40228)"
403S01883,-119.0189,34.71629,"c(-119.0189, 34.71629)"
403S02363,-119.15456,34.55885,"c(-119.15456, 34.55885)"
403S03320,-118.72346,34.39996,"c(-118.72346, 34.39996)"
403S03643,-119.12891,34.56213,"c(-119.12891, 34.56213)"
403S03832,-118.78471,34.40211,"c(-118.78471, 34.40211)"
403S04600,-118.7105,34.39728,"c(-118.7105, 34.39728)"
403S05247,-118.98739,34.36931,"c(-118.98739, 34.36931)"
403S05291,-119.26305,34.56397,"c(-119.26305, 34.56397)"
403S06139,-119.2405,34.55464,"c(-119.2405, 34.55464)"
403S06283,-118.86079,34.69386,"c(-118.86079, 34.69386)"
403S06315,-119.31033,34.59223,"c(-119.31033, 34.59223)"
403S06660,-118.92373,34.42963,"c(-118.92373, 34.42963)"
403S06904,-118.78769,34.41964,"c(-118.78769, 34.41964)"
403S07024,-118.75771,34.6092,"c(-118.75771, 34.6092)"
403S07227,-119.16664,34.56208,"c(-119.16664, 34.56208)"
403S11084,-118.56081,34.42487,"c(-118.56081, 34.42487)"
403S14156,-118.582,34.42523,"c(-118.582, 34.42523)"
403S15608,-118.70052,34.4019,"c(-118.70052, 34.4019)"
403S16332,-118.75812,34.5317,"c(-118.75812, 34.5317)"
403S16493,-118.84546,34.6867,"c(-118.84546, 34.6867)"
403S16978,-118.76771,34.42319,"c(-118.76771, 34.42319)"
403S18093,-118.85658,34.69441,"c(-118.85658, 34.69441)"
403S34646,-118.56616,34.42556,"c(-118.56616, 34.42556)"
403S39062,-118.61744,34.4323,"c(-118.61744, 34.4323)"
403SCSARB,-118.53961,34.42327,"c(-118.53961, 34.42327)"
403SCVARC,-118.5913,34.43125,"c(-118.5913, 34.43125)"
403SCVARD,-118.59466,34.4328,"c(-118.59466, 34.4328)"
403SED076,-119.16611,34.56182,"c(-119.16611, 34.56182)"
404BA0852,-118.82037,34.07877,"c(-118.82037, 34.07877)"
404LVCALC,-118.70748,34.12573,"c(-118.70748, 34.12573)"
404M04517,-118.70612,34.17649,"c(-118.70612, 34.17649)"
404M04532,-118.78748,34.1744,"c(-118.78748, 34.1744)"
404M04599,-118.92442,34.09458,"c(-118.92442, 34.09458)"
404M07346,-118.39639,33.8024,"c(-118.39639, 33.8024)"
404M07349,-118.70166,34.07803,"c(-118.70166, 34.07803)"
404M07354,-118.38647,34.02025,"c(-118.38647, 34.02025)"
