StationCode,longitude,latitude,HUC_12,gage_id,ID,NHDV1_COMID,NHDV2_COMID,STATION_NAME,SampleID
412M08597,-118.43907,34.15524,180701050208,11097000,T11097000,22515762,22515762,BIG TUJUNGA C BL HANSEN DAM CA,412M08597_07162015_BMI_RWB_MCM_1
412PS0052,-118.58796,34.1953,180701050208,11092450,T11092450,22515812,22515812,LOS ANGELES R A SEPULVEDA DAM CA,412PS0052_05202008_BMI_RWB_1
412PS0052,-118.58796,34.1953,180701050208,11097000,T11097000,22515762,22515762,BIG TUJUNGA C BL HANSEN DAM CA,412PS0052_05202008_BMI_RWB_1
412WE0552,-118.18059,34.23908,180701050209,11098000,T11098000,22514774,22514774,ARROYO SECO NR PASADENA CA,412WE0552_07252000_BMI_CSBP_Trans_1
508CCMPRx,-122.17556,40.54583,180201510403,11374000,T11374000,2495212,2495212,COW C NR MILLVILLE CA,508CCMPRx_10262000_BMI_CSBP_Trans_1
508PS0298,-122.2342,40.53446,180201510403,11374000,T11374000,2495212,2495212,COW C NR MILLVILLE CA,508PS0298_07202011_BMI_RWB_1
514FC1278,-120.46647,39.14468,180201280301,11427700,T11427700,14992381,14992381,DUNCAN CYN C NR FRENCH MEADOWS CA,514FC1278_05282014_BMI_RWB_1
514FC1278,-120.46647,39.14468,180201280301,11427750,T11427750,14992381,14992381,DUNCAN CYN C BL DIV DAM NR FRENCH MEADOWS CA,514FC1278_05282014_BMI_RWB_1
514ICEUPx,-120.31364,38.82015,180201290204,11441500,T11441500,14981972,14981972,SF SILVER C NR ICE HOUSE CA,514ICEUPx_08132014_BMI_RWB_1
514PCAPCR,-120.4814,38.9241,180201280207,11433040,T11433040,14997523,14997523,PILOT C BL MUTTON CANYON NR GEORGETOWN CA,514PCAPCR_10292014_BMI_RWB_1
514PCASMR,-120.5497,38.89594,180201280207,11433040,T11433040,14997523,14997523,PILOT C BL MUTTON CANYON NR GEORGETOWN CA,514PCASMR_09192017_BMI_RWB_1
514RCR001,-120.40892,39.05506,180201280206,11428800,T11428800,14992773,14992773,RUBICON R BL HELL HOLE DAM CA,514RCR001_09262006_BMI_RWB_1
515YRMxxx,-121.52389,39.17583,180201590503,11421000,T11421000,7981844,7981844,YUBA R NR MARYSVILLE CA,515YRMxxx_10131999_BMI_CSBP_Trans_1
517FCA046,-120.96694,39.46556,180201250506,11409300,T11409300,8060547,8060547,OREGON C A CAMPTONVILLE CA,517FCA046_08142013_BMI_RWB_1
517FCA046,-120.96694,39.46556,180201250506,11409400,T11409400,8060553,8060553,OREGON C BL LOG CABIN DAM NR CAMPTONVILLE CA,517FCA046_08142013_BMI_RWB_1
517PS0054,-121.03343,39.44571,180201250506,11409300,T11409300,8060547,8060547,OREGON C A CAMPTONVILLE CA,517PS0054_07282010_BMI_RWB_1
