metric,status_code,status,alteration_type,median_in_iqr,comid,gage_id
SP_Tim,1,likely_unaltered,none_found,FALSE,15022307,11447293
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,15022307,11447293
Wet_BFL_Mag_10,-1,likely_altered,low,FALSE,15022307,11447293
Wet_BFL_Mag_50,-1,likely_altered,low,FALSE,15022307,11447293
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,15022307,11447293
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,15022307,11447293
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,15022307,11447293
Peak_10,-1,likely_altered,low,FALSE,15022307,11447293
Peak_2,-1,likely_altered,low,FALSE,15022307,11447293
Peak_5,-1,likely_altered,low,FALSE,15022307,11447293
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,15022307,11447293
Peak_Fre_2,1,likely_unaltered,none_found,FALSE,15022307,11447293
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,15022307,11447293
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,15040999,11336585
DS_Tim,1,likely_unaltered,none_found,TRUE,15040999,11336585
DS_Mag_50,1,likely_unaltered,none_found,TRUE,15040999,11336585
DS_Mag_90,1,likely_unaltered,none_found,TRUE,15040999,11336585
FA_Dur,1,likely_unaltered,none_found,TRUE,15040999,11336585
FA_Mag,1,likely_unaltered,none_found,TRUE,15040999,11336585
FA_Tim,1,likely_unaltered,none_found,FALSE,15040999,11336585
Wet_Tim,1,likely_unaltered,none_found,TRUE,15040999,11336585
SP_ROC,-1,likely_altered,high,FALSE,15040999,11336585
SP_Mag,1,likely_unaltered,none_found,TRUE,15040999,11336585
SP_Tim,1,likely_unaltered,none_found,FALSE,15040999,11336585
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,15040999,11336585
Wet_BFL_Mag_10,1,likely_unaltered,none_found,FALSE,15040999,11336585
Wet_BFL_Mag_50,1,likely_unaltered,none_found,FALSE,15040999,11336585
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,15040999,11336585
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,15040999,11336585
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,15040999,11336585
Peak_10,1,likely_unaltered,none_found,TRUE,15040999,11336585
Peak_2,1,likely_unaltered,none_found,FALSE,15040999,11336585
Peak_5,1,likely_unaltered,none_found,TRUE,15040999,11336585
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,15040999,11336585
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,15040999,11336585
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,15040999,11336585
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,1680009,11390000
DS_Tim,1,likely_unaltered,none_found,FALSE,1680009,11390000
DS_Mag_50,-1,likely_altered,high,FALSE,1680009,11390000
DS_Mag_90,-1,likely_altered,high,FALSE,1680009,11390000
FA_Dur,1,likely_unaltered,none_found,TRUE,1680009,11390000
FA_Mag,1,likely_unaltered,none_found,TRUE,1680009,11390000
FA_Tim,1,likely_unaltered,none_found,TRUE,1680009,11390000
Wet_Tim,1,likely_unaltered,none_found,TRUE,1680009,11390000
SP_ROC,-1,likely_altered,low,FALSE,1680009,11390000
SP_Mag,1,likely_unaltered,none_found,TRUE,1680009,11390000
SP_Tim,1,likely_unaltered,none_found,TRUE,1680009,11390000
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,1680009,11390000
Wet_BFL_Mag_10,1,likely_unaltered,none_found,TRUE,1680009,11390000
Wet_BFL_Mag_50,1,likely_unaltered,none_found,TRUE,1680009,11390000
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,1680009,11390000
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,1680009,11390000
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,1680009,11390000
Peak_10,1,likely_unaltered,none_found,FALSE,1680009,11390000
Peak_2,1,likely_unaltered,none_found,TRUE,1680009,11390000
Peak_5,1,likely_unaltered,none_found,TRUE,1680009,11390000
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,1680009,11390000
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,1680009,11390000
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,1680009,11390000
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,20192498,11335000
DS_Tim,1,likely_unaltered,none_found,TRUE,20192498,11335000
DS_Mag_50,1,likely_unaltered,none_found,TRUE,20192498,11335000
DS_Mag_90,1,likely_unaltered,none_found,TRUE,20192498,11335000
FA_Dur,1,likely_unaltered,none_found,TRUE,20192498,11335000
FA_Mag,1,likely_unaltered,none_found,FALSE,20192498,11335000
FA_Tim,1,likely_unaltered,none_found,TRUE,20192498,11335000
Wet_Tim,1,likely_unaltered,none_found,TRUE,20192498,11335000
SP_ROC,1,likely_unaltered,none_found,TRUE,20192498,11335000
SP_Mag,1,likely_unaltered,none_found,TRUE,20192498,11335000
SP_Tim,1,likely_unaltered,none_found,FALSE,20192498,11335000
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,20192498,11335000
Wet_BFL_Mag_10,1,likely_unaltered,none_found,TRUE,20192498,11335000
Wet_BFL_Mag_50,0,indeterminate,high,FALSE,20192498,11335000
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,20192498,11335000
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,20192498,11335000
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,20192498,11335000
Peak_10,1,likely_unaltered,none_found,TRUE,20192498,11335000
Peak_2,1,likely_unaltered,none_found,FALSE,20192498,11335000
Peak_5,1,likely_unaltered,none_found,TRUE,20192498,11335000
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,20192498,11335000
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,20192498,11335000
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,20192498,11335000
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,17056582,11316800
DS_Tim,1,likely_unaltered,none_found,TRUE,17056582,11316800
DS_Mag_50,0,indeterminate,unknown,TRUE,17056582,11316800
DS_Mag_90,1,likely_unaltered,none_found,TRUE,17056582,11316800
FA_Dur,1,likely_unaltered,none_found,TRUE,17056582,11316800
FA_Mag,1,likely_unaltered,none_found,TRUE,17056582,11316800
FA_Tim,0,indeterminate,unknown,TRUE,17056582,11316800
Wet_Tim,0,indeterminate,unknown,TRUE,17056582,11316800
SP_ROC,1,likely_unaltered,none_found,TRUE,17056582,11316800
SP_Mag,0,indeterminate,unknown,TRUE,17056582,11316800
SP_Tim,1,likely_unaltered,none_found,TRUE,17056582,11316800
Wet_BFL_Dur,1,likely_unaltered,none_found,TRUE,17056582,11316800
Wet_BFL_Mag_10,0,indeterminate,low,FALSE,17056582,11316800
Wet_BFL_Mag_50,0,indeterminate,unknown,TRUE,17056582,11316800
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,17056582,11316800
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,17056582,11316800
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,17056582,11316800
Peak_10,-1,likely_altered,high,FALSE,17056582,11316800
Peak_2,-1,likely_altered,high,FALSE,17056582,11316800
Peak_5,-1,likely_altered,high,FALSE,17056582,11316800
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,17056582,11316800
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,17056582,11316800
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,17056582,11316800
